stars,forks,watchers,open_issues,size
2916,312,2916,34,1251
2916,530,2916,0,2580
2916,786,2916,308,63642
2916,110,2916,32,46887
2916,528,2916,313,50698
2916,306,2916,164,138945
2915,628,2915,292,22462
2915,391,2915,84,2502
2915,669,2915,11,1309
2915,97,2915,2,12103
2914,462,2914,157,21774
2914,985,2914,11,3922
2913,1551,2913,118,36585
2913,579,2913,160,21755
2913,218,2913,61,930
2913,251,2913,241,7904
2913,196,2913,75,2015
2913,286,2913,102,22815
2913,730,2913,159,6436
2913,187,2913,30,610
2913,646,2913,1,175
2913,577,2913,3,84495
2912,590,2912,1,6005
2912,633,2912,1328,6636
2912,362,2912,120,226
2912,490,2912,87,2863
2912,837,2912,3,23
2912,111,2912,16,12836
2912,356,2912,77,10147
2911,685,2911,149,49100
2910,615,2910,27,335
2910,439,2910,18,17679
2910,656,2910,17,28
2910,510,2910,0,25633
2910,274,2910,201,13255
2910,907,2910,16,22480
2910,437,2910,266,13066
2909,279,2909,62,1351
2909,783,2909,151,425604
2909,81,2909,6,478978
2909,490,2909,193,6685
2908,741,2908,5,54
2908,265,2908,61,716
2908,1456,2908,146,2463
2908,1200,2908,94,11833
2908,273,2908,9,6965
2907,258,2907,57,168
2907,970,2907,188,858
2907,907,2907,4,13
2907,797,2907,0,1901
2907,110,2907,16,18111
2907,171,2907,54,541
2907,296,2907,37,2715
2906,327,2906,19,1451
2906,170,2906,15,172
2906,202,2906,17,2529
2906,522,2906,0,18770
2906,705,2906,69,304
2906,208,2906,6,19735
2906,744,2906,135,1169
2905,268,2905,127,21199
2905,586,2905,225,13433
2905,323,2905,23,19354
2904,538,2904,10,17587
2904,451,2904,38,195680
2903,1654,2903,28,375
2903,465,2903,14,556787
2903,484,2903,203,1752
2903,597,2903,27,10604
2903,750,2903,36,328084
2902,545,2902,1245,1379446
2902,268,2902,64,4495
2901,363,2901,80,94116
2901,534,2901,22,4222
2901,267,2901,62,86685
2901,254,2901,116,8269
2901,749,2901,26,44128
2900,750,2900,8,2759
2900,147,2900,72,7527
2899,446,2899,16,70798
2899,513,2899,8,1483
2899,643,2899,313,197180
2898,347,2898,511,29951
2898,112,2898,62,3501
2898,807,2898,226,173796
2898,375,2898,181,123550
2898,171,2898,63,365
2898,953,2898,226,46959
2898,242,2898,187,19471
2898,793,2898,4,490
2898,137,2898,1,139
2898,270,2898,33,26677
2898,140,2898,7,14117
2897,336,2897,320,39146
2897,692,2897,120,210246
2897,1829,2897,24,208
2897,354,2897,768,49895
2897,307,2897,205,36696
2897,506,2897,23,573
2896,665,2896,193,6075
2896,381,2896,53,3539
2896,309,2896,131,11608
2896,84,2896,34,25616
2896,329,2896,18,2714
2896,1177,2896,10,17888
2895,596,2895,73,31104
2895,219,2895,42,5784
2895,687,2895,68,123
2895,111,2895,108,62125
2895,220,2895,170,22481
2895,241,2895,61,530
2894,294,2894,251,4901592
2893,864,2893,248,486883
2893,2405,2893,552,38964
2893,631,2893,52,105096
2893,85,2893,7,869
2893,712,2893,233,58389
2893,148,2893,8,219
2892,1374,2892,2,56967
2892,187,2892,5,607
2892,125,2892,3,59
2892,218,2892,98,3739
2892,334,2892,21,607
2892,543,2892,3,334768
2892,95,2892,9,564
2891,182,2891,8,8774
2891,1069,2891,115,6399
2891,377,2891,35,15070
2891,479,2891,29,27529
2891,313,2891,205,32980
2890,553,2890,21,70929
2890,218,2890,15,12810
2890,1321,2890,358,27827
2890,446,2890,33,394
2889,401,2889,57,4121
2889,454,2889,0,14714
2889,289,2889,112,2274
2889,839,2889,32,17829
2889,7768,2889,270,12817
2888,446,2888,41,17026
2888,245,2888,94,402331
2888,334,2888,84,20007
2888,418,2888,48,15975
2887,226,2887,26,4046
2887,311,2887,16,1001
2887,723,2887,149,24531
